Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener7,1,0.69612,0.7004299022321985,1e-05,0.1
wiener7,2,0.68872,0.6977703191455941,1e-05,0.1
wiener7,3,0.68472,0.6860681407866368,1e-05,0.1
wiener7,4,0.67904,0.67912111291818,1e-05,0.1
wiener7,5,0.672,0.6726620010299457,1e-05,0.1
wiener7,6,0.65504,0.6756959976647554,1e-05,0.1
wiener7,7,0.66584,0.6689502150513741,1e-05,0.1
wiener7,8,0.6726,0.6726232281815839,1e-05,0.1
wiener7,9,0.66664,0.6689128918730437,1e-05,0.1
wiener7,10,0.66752,0.6687846414758861,1e-05,0.1
