epoch,corpus_bleu,sentence_bleu,sacrebleu_score,recall,precision,f1
0,7.024446549830951,8.051240430497742,10.83896006985198,0.7721478694921488,0.7881724347760191,0.7797641557850046
1,9.23864193293889,10.666182903068048,13.881423259338376,0.7954309500339545,0.8088176427306709,0.8017202727484218
2,10.321535265567107,11.936230458512236,15.36963556146165,0.805122997416999,0.8177084986900751,0.8110246574962056
3,11.222344035477953,12.882358160082488,16.32748503738718,0.8100641259462723,0.8227272283979309,0.8160031146499819
4,11.735179961997694,13.463945120949402,17.00542237893984,0.8134752475457155,0.8263504088937224,0.8195086534802135
5,12.057160369878662,13.768433805037844,17.335093607475063,0.8162833786868192,0.8283700205427863,0.8219331908615041
