epoch,train_total_loss,train_wiener_loss,train_kldiv_loss,val_total_loss,val_wiener_loss,val_kldiv_loss
0,2.890386345303526,nan,2.890386345303526,2.049174062749173,nan,2.049174062749173
1,2.084902264932037,nan,2.084902264932037,1.7606542059715757,nan,1.7606542059715757
2,1.916907421850721,nan,1.916907421850721,1.6444132924079895,nan,1.6444132924079895
3,1.8311976908974161,nan,1.8311976908974161,1.5792538802674476,nan,1.5792538802674476
4,1.7784852528838753,nan,1.7784852528838753,1.5263255390715091,nan,1.5263255390715091
5,1.7358929961826721,nan,1.7358929961826721,1.4957762943937423,nan,1.4957762943937423
