Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener1,1,0.69512,0.7096618276957529,1e-05,0.1
wiener1,2,0.67744,0.7000701649135253,1e-05,0.1
wiener1,3,0.69028,0.6902845315119472,1e-05,0.1
wiener1,4,0.66768,0.6820153090714429,1e-05,0.1
wiener1,5,0.6772,0.6775024710267243,1e-05,0.1
wiener1,6,0.67248,0.6749322989284666,1e-05,0.1
wiener1,7,0.66396,0.6682632322846246,1e-05,0.1
wiener1,8,0.66688,0.6669289259333891,1e-05,0.1
wiener1,9,0.66756,0.6676761563829955,1e-05,0.1
wiener1,10,0.6642,0.6683431495474618,1e-05,0.1
