epoch,train_total_loss,train_wiener_loss,train_kldiv_loss,val_total_loss,val_wiener_loss,val_kldiv_loss
0,2.3098319245584102,nan,2.3098319245584102,1.671606645939198,nan,1.671606645939198
1,1.7856397693014927,nan,1.7856397693014927,1.5091783340941085,nan,1.5091783340941085
2,1.6810755813533982,nan,1.6810755813533982,1.43690828059582,nan,1.43690828059582
3,1.6243976128336208,nan,1.6243976128336208,1.3940833172899612,nan,1.3940833172899612
4,1.5881800757135083,nan,1.5881800757135083,1.3617276891748955,nan,1.3617276891748955
5,1.5574278038783813,nan,1.5574278038783813,1.3401855674195797,nan,1.3401855674195797
