Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener9,1,0.68264,0.6975304782865775,1e-05,0.3
wiener9,2,0.6852,0.695521513765093,1e-05,0.3
wiener9,3,0.68492,0.6859074463602608,1e-05,0.3
wiener9,4,0.6722,0.6776787894366432,1e-05,0.3
wiener9,5,0.67092,0.6774562986724878,1e-05,0.3
wiener9,6,0.67588,0.6789186291844328,1e-05,0.3
wiener9,7,0.67064,0.6731129233730165,1e-05,0.3
wiener9,8,0.66748,0.6683009088213704,1e-05,0.3
wiener9,9,0.66404,0.6661510821537878,1e-05,0.3
wiener9,10,0.6654,0.668006655790681,1e-05,0.3
