Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener5,1,0.62916,0.6823931208395897,0.0001,0.2
wiener5,2,0.69756,0.6976920000555121,0.0001,0.2
wiener5,3,0.68792,0.6891207089227694,0.0001,0.2
wiener5,4,0.6826,0.6833046229706993,0.0001,0.2
wiener5,5,0.6804,0.680856492203656,0.0001,0.2
wiener5,6,0.6744,0.6744177219568243,0.0001,0.2
wiener5,7,0.66436,0.669298895737755,0.0001,0.2
wiener5,8,0.66756,0.667571823867892,0.0001,0.2
wiener5,9,0.66916,0.6699701664698341,0.0001,0.2
wiener5,10,0.66788,0.6680394089048636,0.0001,0.2
