Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener4,1,0.66556,0.7011348675541429,0.0001,0.1
wiener4,2,0.6862,0.7028276356234283,0.0001,0.1
wiener4,3,0.68868,0.689302838444243,0.0001,0.1
wiener4,4,0.67632,0.6828602480962888,0.0001,0.1
wiener4,5,0.6846,0.685002433870373,0.0001,0.1
wiener4,6,0.67868,0.6803955891846426,0.0001,0.1
wiener4,7,0.68232,0.6826287987078619,0.0001,0.1
wiener4,8,0.67608,0.6772279105644545,0.0001,0.1
wiener4,9,0.6736,0.6742205216500904,0.0001,0.1
wiener4,10,0.67068,0.6729787979996745,0.0001,0.1
