Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener3-Copy1,1,0.69468,0.7026906253899098,1e-05,0.3
wiener3-Copy1,2,0.69664,0.6980427178754794,1e-05,0.3
wiener3-Copy1,3,0.68688,0.688040524742282,1e-05,0.3
wiener3-Copy1,4,0.68096,0.6809740146276928,1e-05,0.3
wiener3-Copy1,5,0.66384,0.6729040963925209,1e-05,0.3
wiener3-Copy1,6,0.67276,0.6758728870682655,1e-05,0.3
wiener3-Copy1,7,0.67064,0.6726719884891299,1e-05,0.3
wiener3-Copy1,8,0.66852,0.6698472817742619,1e-05,0.3
wiener3-Copy1,9,0.66552,0.6656714995618778,1e-05,0.3
wiener3-Copy1,10,0.65608,0.6633209167246084,1e-05,0.3
