Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener6,1,0.67828,0.6995732011790791,0.0001,0.3
wiener6,2,0.69524,0.6988796321890012,0.0001,0.3
wiener6,3,0.68948,0.6901445884980169,0.0001,0.3
wiener6,4,0.68104,0.6836281354435155,0.0001,0.3
wiener6,5,0.67416,0.674240093571076,0.0001,0.3
wiener6,6,0.67144,0.6716087685748114,0.0001,0.3
wiener6,7,0.66816,0.6714905539935284,0.0001,0.3
wiener6,8,0.66924,0.6694091652160181,0.0001,0.3
wiener6,9,0.66692,0.6683674547390033,0.0001,0.3
wiener6,10,0.66528,0.6659461892509073,0.0001,0.3
