epoch,train_total_loss,train_wiener_loss,train_kldiv_loss,val_total_loss,val_wiener_loss,val_kldiv_loss
0,1.5800619691192397,nan,1.5800619691192397,1.3127725834542132,nan,1.3127725834542132
1,1.5020373340245372,nan,1.5020373340245372,1.273470513364102,nan,1.273470513364102
2,1.470352734840147,nan,1.470352734840147,1.2553126507617058,nan,1.2553126507617058
3,1.4514785923665707,nan,1.4514785923665707,1.238567444872349,nan,1.238567444872349
4,1.4388647775853614,nan,1.4388647775853614,1.2277330337686743,nan,1.2277330337686743
5,1.425167414907607,nan,1.425167414907607,1.2203967190803366,nan,1.2203967190803366
