epoch,train_total_loss,train_wiener_loss,train_kldiv_loss,val_total_loss,val_wiener_loss,val_kldiv_loss
0,2.900991673933304,nan,2.900991673933304,2.053938472524602,nan,2.053938472524602
1,2.085018938467476,nan,2.085018938467476,1.7559641726473545,nan,1.7559641726473545
2,1.9134116351404797,nan,1.9134116351404797,1.6367511990222525,nan,1.6367511990222525
3,1.8270771943588162,nan,1.8270771943588162,1.5674710020105889,nan,1.5674710020105889
4,1.773787314370795,nan,1.773787314370795,1.5194919248844714,nan,1.5194919248844714
5,1.7319194710329797,nan,1.7319194710329797,1.4848008092413558,nan,1.4848008092413558
