Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener2,1,0.5,0.25,1e-05,0.2
wiener2,2,0.68268,0.6924103885290103,1e-05,0.2
wiener2,3,0.6816,0.6953472666500999,1e-05,0.2
wiener2,4,0.67768,0.6873797799679139,1e-05,0.2
wiener2,5,0.68224,0.6826012712100915,1e-05,0.2
wiener2,6,0.67752,0.6775654567569298,1e-05,0.2
wiener2,7,0.67252,0.6733970517204015,1e-05,0.2
wiener2,8,0.67288,0.6729119818001538,1e-05,0.2
wiener2,9,0.65656,0.6640093256121575,1e-05,0.2
wiener2,10,0.66828,0.668707183865162,1e-05,0.2
