Model Directory,Epoch,Accuracy,Precision
classic,1,0.69604,0.6963404744357604
classic,2,0.70672,0.706828273442909
classic,3,0.69272,0.6956667805351485
classic,4,0.67896,0.6855400714666182
classic,5,0.67684,0.6774568901219239
classic,6,0.67588,0.6776709516196785
classic,7,0.66664,0.6697277922778747
classic,8,0.6592,0.6599785287269601
classic,9,0.66444,0.6645316375408447
classic,10,0.65648,0.6565007692796915
